Ensembl_ID	Patient1
ENSG00000242268.2	0.046077757
ENSG00000270112.3	0
ENSG00000167578.15	2.42389753
ENSG00000273842.1	0
ENSG00000078237.5	2.40365014
ENSG00000146083.10	3.722587223
ENSG00000225275.4	0
ENSG00000158486.12	1.189986602
ENSG00000198242.12	6.703571595
ENSG00000259883.1	0.200921556
ENSG00000231981.3	0
ENSG00000269475.2	0
ENSG00000201788.1	0
ENSG00000134108.11	4.451794506
ENSG00000263089.1	0.090297865
ENSG00000172137.17	0.491509853
ENSG00000167700.7	4.136150253
ENSG00000234943.2	0.166382796
ENSG00000240423.1	0
ENSG00000060642.9	2.809270629
ENSG00000271616.1	0
ENSG00000234881.1	0
ENSG00000236040.1	0
ENSG00000231105.1	0.513564546
ENSG00000243044.1	0
ENSG00000182141.8	1.290404357
ENSG00000269416.4	1.120680212
ENSG00000264981.1	0
ENSG00000275265.1	0.071272244
ENSG00000185105.4	0.066085597
ENSG00000233540.1	0
ENSG00000102174.8	0.353802609
ENSG00000271647.1	0
ENSG00000166391.13	0
ENSG00000270469.1	0.040418931
ENSG00000070087.12	2.978058027
ENSG00000262950.1	0
ENSG00000255420.1	0
ENSG00000280038.1	0.009889387
ENSG00000266261.1	0.265164325
ENSG00000153561.11	2.735309618
ENSG00000269148.1	0.508169176
ENSG00000274458.1	0
ENSG00000273406.1	0.068201019
ENSG00000179262.8	5.243478798
ENSG00000214198.6	0.144589307
ENSG00000278099.1	0
ENSG00000166368.2	0
ENSG00000206072.11	0.826249344
ENSG00000234900.1	0.088435599
ENSG00000258630.1	0
ENSG00000127511.8	3.139197475
ENSG00000220993.1	0
ENSG00000225269.2	0
ENSG00000214062.5	0.089027878
ENSG00000095587.8	0.128675268
ENSG00000274219.1	0
ENSG00000230100.1	0
ENSG00000064601.15	5.834402151
ENSG00000227766.1	4.45336066
ENSG00000008517.15	5.585300002
ENSG00000215246.5	0.229043332
ENSG00000266644.1	0.058174144
ENSG00000236893.1	0.026863551
ENSG00000254465.1	0
ENSG00000088179.7	1.397847542
ENSG00000070081.14	3.02402303
ENSG00000275479.1	1.589532235
ENSG00000166634.5	0
ENSG00000261789.1	0.01986457
ENSG00000254092.1	0
ENSG00000197421.8	0.127463461
ENSG00000161558.9	1.516810627
ENSG00000276644.3	0.140935688
ENSG00000260900.1	0
ENSG00000278732.1	0
ENSG00000196167.8	0.893384855
ENSG00000268465.1	0
ENSG00000264438.2	0.12072627
ENSG00000204113.6	0
ENSG00000207000.1	0
ENSG00000254131.1	0.150203558
ENSG00000118972.1	0
ENSG00000264104.1	0
ENSG00000179833.4	3.892007023
ENSG00000264576.1	0
ENSG00000064225.11	1.260736333
ENSG00000267108.1	0.970929346
ENSG00000221372.1	0
ENSGR0000264510.4	0
ENSG00000057294.12	0.93568584
ENSG00000227535.2	0
ENSG00000252628.2	0
ENSG00000166007.11	0
ENSG00000273055.1	1.148375989
ENSG00000242041.1	0
ENSG00000278923.1	0
ENSG00000167768.4	0.222441009
ENSG00000280159.1	0.040451722
ENSG00000235240.1	0
ENSG00000264172.1	0
ENSG00000199903.1	0
ENSG00000200058.1	0
ENSG00000275358.1	0.051824986
ENSG00000218358.2	0.285411225
ENSG00000266460.1	0
ENSG00000260371.1	0
ENSG00000264091.1	0
ENSG00000238921.2	0
ENSG00000274815.1	0
ENSG00000269349.1	0
ENSG00000200291.1	0
ENSG00000233614.6	0.075181867
ENSG00000022567.8	2.292839071
ENSG00000241670.3	0
ENSG00000278933.1	0
ENSG00000202175.1	0
ENSG00000120662.14	1.527926719
ENSG00000235523.1	0
ENSG00000249848.1	0
ENSG00000277826.1	0
ENSG00000230225.1	0.149415227
ENSG00000239877.2	0
ENSG00000201398.1	0
ENSG00000281474.1	0
ENSG00000272905.1	0.096247582
ENSG00000259952.1	0
ENSG00000260812.1	0
ENSG00000225630.1	7.399619397
ENSG00000230231.1	0
ENSG00000164283.11	2.012668325
ENSG00000231880.2	0
ENSG00000227489.1	0
ENSG00000254555.1	0
ENSG00000013392.7	1.757788598
ENSG00000258279.2	0.151023146
ENSG00000226688.5	0.155794821
ENSG00000250929.2	0.271684357
ENSG00000204581.2	0.05697749
ENSG00000225620.1	0
ENSG00000258477.1	0.187174679
ENSG00000225488.1	0
ENSG00000184178.14	2.426797104
ENSG00000237786.1	0
ENSG00000166913.11	6.155084942
ENSG00000275856.1	0
ENSG00000164112.11	0.204638155
ENSG00000259345.4	0.497979319
ENSG00000130204.11	4.527688173
ENSG00000280387.1	0.198755799
ENSG00000189099.10	0.06570673
ENSG00000232879.2	1.221527308
ENSG00000111863.11	0.432747072
ENSG00000164182.9	4.06776576
ENSG00000109618.10	1.825313935
ENSG00000271623.1	0
