Modality,Cancer_Type,Misclassification_Rate
clinical,KIRC,14.232209737827716
clinical,OV,24.113475177304966
clinical,BRCA,48.201438848920866
molecular,KIRC,40.44943820224719
molecular,OV,46.09929078014184
molecular,BRCA,48.92086330935251
pathology,KIRC,16.104868913857672
pathology,OV,43.97163120567376
pathology,BRCA,56.11510791366907
radiology,KIRC,34.456928838951306
radiology,OV,91.48936170212765
radiology,BRCA,0.0
multimodal,KIRC,13.48314606741573
multimodal,OV,26.241134751773053
multimodal,BRCA,49.64028776978417
