Model,Modality,C-index,95% CI Lower,95% CI Upper,Permutation p-value,Bootstrap p-value,C-index Difference,Difference CI Lower,Difference CI Upper
COX,Multimodal,0.7094594594594594,0.6338291724456774,0.7728531855955678,,,,,
COX,Clinical,0.6905405405405406,0.5940814645863979,0.7771742936565537,0.663,0.366,0.018918918918918837,-0.07597102397284498,0.11203707428650239
COX,Molecular,0.677027027027027,0.5722375668870003,0.7794729542302358,0.617,0.335,0.032432432432432434,-0.07523576431681478,0.15431822927336622
COX,Pathology,0.6432432432432432,0.5481114090400142,0.7347251116596145,0.185,0.085,0.0662162162162162,-0.03401253147623549,0.15674313955779465
COX,Radiology,0.5756756756756757,0.4854593625360628,0.6573674242424241,0.022,0.015,0.13378378378378375,0.016827947208741426,0.24134937260566716
DEEPSURV,Multimodal,0.6878378378378378,0.5875928954275371,0.7725396596848382,,,,,
DEEPSURV,Clinical,0.6810810810810811,0.5928383740216907,0.756314211578246,0.913,0.472,0.006756756756756688,-0.09960239947294812,0.11284421840919562
DEEPSURV,Molecular,0.7067567567567568,0.5983419677719896,0.7964681440443212,0.745,0.662,-0.018918918918918948,-0.12947910604120588,0.10263879257204506
DEEPSURV,Pathology,0.6135135135135135,0.5083327562326869,0.7158825992948555,0.168,0.073,0.07432432432432434,-0.019504811930578552,0.1767782784753034
DEEPSURV,Radiology,0.5743243243243243,0.47920631932411506,0.67406457295848,0.116,0.044,0.11351351351351346,-0.01541666666666672,0.23218081087887185
RSF,Multimodal,0.6621621621621622,0.5719678030520722,0.7507087067192022,,,,,
RSF,Clinical,0.7135135135135136,0.6218114618612232,0.7922234203845611,0.268,0.829,-0.05135135135135138,-0.1606157825097881,0.05550533263188096
RSF,Molecular,0.7337837837837838,0.6453385171832386,0.8150272851954875,0.257,0.885,-0.07162162162162167,-0.18273297799174693,0.0472552588996764
RSF,Pathology,0.5945945945945946,0.4851787043566839,0.6995931849791377,0.268,0.126,0.06756756756756754,-0.05401662049861489,0.19637945615028687
RSF,Radiology,0.5608108108108109,0.4560669456066946,0.6573062927581854,0.093,0.069,0.10135135135135132,-0.029333728265645634,0.22931089694126355
