project_id,merged_project,modality,model,mean_c_index,std_c_index,c_indices
TCGA-ACC,TCGA-ACC,clinical,cox,0.8825171062151081,0.029032880869259845,"[0.8604651162790697, 0.8846153846153846, 0.8928571428571429, 0.9295774647887324, 0.8450704225352113]"
TCGA-ACC,TCGA-ACC,clinical,rsf,0.7782808958701523,0.03902959655773272,"[0.7906976744186046, 0.7948717948717948, 0.7142857142857143, 0.7605633802816901, 0.8309859154929577]"
TCGA-ACC,TCGA-ACC,clinical,deepsurv,0.8676122927187453,0.025961027739904146,"[0.8604651162790697, 0.8717948717948718, 0.8452380952380952, 0.8450704225352113, 0.9154929577464789]"
TCGA-ACC,TCGA-ACC,pathology,cox,0.567592915873296,0.06881399616008817,"[0.5232558139534884, 0.6923076923076923, 0.5238095238095238, 0.5915492957746479, 0.5070422535211268]"
TCGA-ACC,TCGA-ACC,pathology,rsf,0.4826441055396181,0.09833117466079966,"[0.6046511627906976, 0.5641025641025641, 0.35714285714285715, 0.5070422535211268, 0.38028169014084506]"
TCGA-ACC,TCGA-ACC,pathology,deepsurv,0.5410729733199435,0.12514031118630384,"[0.6162790697674418, 0.5641025641025641, 0.44047619047619047, 0.7183098591549296, 0.36619718309859156]"
TCGA-ACC,TCGA-ACC,radiology,cox,0.5128841624583517,0.03597148812902539,"[0.5581395348837209, 0.5128205128205128, 0.5357142857142857, 0.4507042253521127, 0.5070422535211268]"
TCGA-ACC,TCGA-ACC,radiology,rsf,0.4651822083364828,0.06395363425126031,"[0.5116279069767442, 0.5384615384615384, 0.4166666666666667, 0.49295774647887325, 0.36619718309859156]"
TCGA-ACC,TCGA-ACC,radiology,deepsurv,0.4920378562370047,0.09425562407662294,"[0.46511627906976744, 0.46153846153846156, 0.5476190476190477, 0.6338028169014085, 0.352112676056338]"
TCGA-ACC,TCGA-ACC,molecular,cox,0.4243630536948585,0.09703819767043763,"[0.36046511627906974, 0.6025641025641025, 0.44047619047619047, 0.39436619718309857, 0.323943661971831]"
TCGA-ACC,TCGA-ACC,molecular,rsf,0.5415868496608752,0.13210957730638678,"[0.686046511627907, 0.5705128205128205, 0.38095238095238093, 0.39436619718309857, 0.676056338028169]"
TCGA-ACC,TCGA-ACC,molecular,deepsurv,0.5329868297441176,0.17594477347410334,"[0.5581395348837209, 0.6923076923076923, 0.42857142857142855, 0.2535211267605634, 0.7323943661971831]"
TCGA-ACC,TCGA-ACC,wsi,cox,0.41275770304594417,0.0817779563671871,"[0.38372093023255816, 0.5256410256410257, 0.4642857142857143, 0.28169014084507044, 0.4084507042253521]"
TCGA-ACC,TCGA-ACC,wsi,rsf,0.49563421075048986,0.1546449857384624,"[0.686046511627907, 0.4230769230769231, 0.36904761904761907, 0.323943661971831, 0.676056338028169]"
TCGA-ACC,TCGA-ACC,wsi,deepsurv,0.4243512356188413,0.13378726004024274,"[0.5, 0.28205128205128205, 0.4523809523809524, 0.2676056338028169, 0.6197183098591549]"
TCGA-ACC,TCGA-ACC,concat,cox,0.667183962450913,0.10722368870203217,"[0.5116279069767442, 0.6410256410256411, 0.8452380952380952, 0.6901408450704225, 0.647887323943662]"
TCGA-ACC,TCGA-ACC,concat,rsf,0.6237325563398278,0.12419743233902228,"[0.7209302325581395, 0.6410256410256411, 0.5595238095238095, 0.4225352112676056, 0.7746478873239436]"
TCGA-ACC,TCGA-ACC,concat,deepsurv,0.5799654816195924,0.10272907004701884,"[0.6395348837209303, 0.5384615384615384, 0.75, 0.5070422535211268, 0.4647887323943662]"
TCGA-ACC,TCGA-ACC,mean_pool,cox,0.5737356158417408,0.09437793352962605,"[0.6162790697674418, 0.7307692307692307, 0.5357142857142857, 0.5352112676056338, 0.4507042253521127]"
TCGA-ACC,TCGA-ACC,mean_pool,rsf,0.5596139748448953,0.09978172593679271,"[0.6511627906976745, 0.6153846153846154, 0.40476190476190477, 0.4788732394366197, 0.647887323943662]"
TCGA-ACC,TCGA-ACC,mean_pool,deepsurv,0.5076522342162695,0.07517752890371864,"[0.4883720930232558, 0.6538461538461539, 0.4523809523809524, 0.49295774647887325, 0.4507042253521127]"
TCGA-ACC,TCGA-ACC,kronecker,cox,0.5811445296705696,0.12961517892937818,"[0.6627906976744186, 0.717948717948718, 0.44047619047619047, 0.4084507042253521, 0.676056338028169]"
